0	0,1,2,3,4,5
1	1,4,6,7,8,9,10,11,12,13
2	14
3	0,14
4	1,12,15
5	0
6	0,1,4,6,10,13,16
7	0,1,2,4,6,8,11,13,14,16
8	4,7,8,9,11,13,16
9	1,2,3,4,7,8,9,11,12,13,14,15,16,17
10	1,2,4,9,11,12,13,18,19
11	0,2,4,10,11,13
12	0,2,4,16
13	0,2,4,9,11,14
14	3,4,7,8,12
15	1,4,7,8,11,14
16	1,2,3,4,7,8,9,12,13,18
17	1,3,4,6,7,8,9,11,16
18	2,10,13,14,15,18,20
19	1,3
20	0,1,3,4,6,7,8,9,10,11,14,16,17,20,21
21	6
22	1,3,4,8,9,10,16
23	0,7,8,9,10,11,14
24	0,18
25	0,1,3,4,7,8,9,10,11,12,13
26	22,23
27	1,4,8,9,13,16
28	0,1,2,4,13,14
29	2,4,8,9,11,14
30	1,2,3,4,6,8,10,13,14
31	0,1,2,4,7,8,11,12,17
32	0,1,2,3,4,8,10,11,12,13,24
33	0,1,8,11
34	0,1,2,3,4,8,9,11,13,14,18
35	3,10,15,18,21,25,26,27
36	1,4,6,8,9,12,14
37	0,1,4,8,12,16
38	0,3,4,6,8,12,13,16,21
39	0,1,2,4,6,8,11,13,16
40	1,2,12
41	28,29
42	8,9
43	1,2,4,5,7,10,11,13,14,15
44	0,2,3,4,7,8,9,12,14,16
45	1,2,4,6,8,11
46	1,4,11,13,14,15,16,18
47	0,1,2,3,4,6,7,8,9,11,12,13,14,16,21
48	1,2,4,7,8,10,11,16
49	4
50	1,4,7,14,15,30
51	0
52	0,1,4,16
53	0,1,2,3,4,8,9,11
54	4,12,17
55	0,4,8
56	0,4,8
57	3,4,6,8,10,14,17,20
58	0,3,4,11,13
59	0,1,2,4,8,9,11,14,16
60	0,1,2,4,9,10,12,18
61	1,2,4,7,9,11,12,14,31,32,33,34
62	0,1,2,3,4,6,7,8,9,10,11,12,15,17
63	0,9,12
64	1,3,4,7,8,9,11,14,17
65	0,4,11
66	0,1,2,4,6,7,8,9,10,11,12,13,15,27
67	0,1,2,4,9
68	4,8,9,11,13,16
69	0,1,3,8,11
70	1,2,3,4,8,11,12,13,14,15,17
71	4
72	0,3,4,6,9,15,20
74	8,13,16
75	0,1,2,3,4,9,11,12,14
76	4,8
77	0,4,8,11,13
78	1,2,3,4,5,6,7,8,9,11,12,14,15,16,17,18,20,25,26
79	1,3,4,7,10,11,13,17
80	1,2,3,4,9,14,15,17,18,21
81	4,7,10,20
82	0,1,4,6,9,10,12,15
83	7
84	0,1,4,6,14,15
85	0,2,3,4,5,6,7,8,9,15,18,21
86	0,1,10,15
87	1,2,3,4,6,7,8,9,12,16,21
88	0,1,3,4,11,14,16,17
89	0,8,16
90	1,4,12
91	0,4,10,12,14,17
92	2,4,8,12,14,16
93	0,1,4,9,16
94	0,2,9
95	0,1,3,4,6,8,11,14
96	5
97	0,2,4,7,9,10,14,18
98	6
99	15
100	6
101	0,1,2,3,4,5,9,10,11,14,15,16,18,21,25,26,27
102	0,4,7,8,11
103	2,4,11,12,13
104	0,4,6,10,13,14
105	0,1,2,3,4,6,8,9,10,11,14,17
106	0,1,2,4,8,9,11,13
107	3,9
108	0,1,4,15
109	9
110	0,4,6,13,17
111	1,2,3,4,7,8,11,12,13,16
112	0,4,15,16
113	1,6,8,9,11,13,16
114	1,17
115	0,2,4,9
116	0,1,2,4,8,9,11,13
117	0,2,4,7,8,9,10,11,13,14
118	0,1,2,4,5,6,7,8,9,10,12,13,15,17,18
119	0,1,2,3,4,5,7,9,11,13,14,16
120	0,1,3,8,10,14
121	0,1,2,4,5,6,7,8,9,12,17
122	10
123	0,3,4
124	35,36
125	1,6,14,15
126	1,4,8,13
127	6,17
128	3,4,10,11,16,25,26
129	2,4,8,9,11,13
130	37,38,39
131	1,3,4,10,11,13,14,16
132	0,9
133	0,1,2,3,4,6,7,8,9,11,12,13,15,16,17,21
134	0,4,8,16
135	0,1,2,3,4,9,10,11,13,14
136	11,14,16
137	0,2,4,7,8,9,10,11,12,14,17,18
138	0,4,9,11,13,40
139	1,2,4,7,14
140	0,1,2,4,6,8,10,11,13,16,18
142	1,3,4,5,6,9,11,14,17
143	0,1,6,7,14,16
144	0,1,4,10,41
145	0,1,9,10,15
146	0,1,2,3,4,5,6,7,8,9,10,14,17
147	0,1,4,6,7,8,11,12,13,14,15,17,18
148	0,1,4,7
149	1,2,3,4,8,9,11,12,13
150	1,3,4,7,8,11,12,13,16
151	0,1,4,7,8,9,11,16
152	0,1,3,4,8,11,12,13,16
153	0,1,2,3,4,9,10,13,14,15,17
154	42
155	0,1,2,4,8,9,11,12,13,14,21
156	1,2,4,6,9,11,15
157	1,2,4,5,6,7,8,9,11,14,15,17
158	0,1,4,7,8,9,12,13,15
159	1,2,3,4,8,12,14
160	1,3,4,7,8,9,13,17
161	10
162	0,3,4,6,13,14,16,17
163	0
164	2,4,7,9,15,18
165	0,4,6,7,9,43
166	0,1,2,3,4,9,10,11,15
167	11,44,45,46,47
168	0,1,3,4,8,9,11,13,16,21
169	9,12,13
170	1,4,7,8,9,11,13,14,16,17
171	48
172	0,1,2,3,4,5,7,8,9,11,12,14,15,17
173	4,7,8,11,12
174	0,1,2,3,4,10,11,14,15,17,18
175	0,1,2,3,4,6,7,8,9,11,13,14,16,17
176	0,2,4,5,6,7,9,14,17
177	1,2,5,10,12,49
178	0,3,4,6,8,11,13,16,18
179	50
180	1,3,4,7,8,9,11,12
181	0,1,2,3,4,6,12,14,15,16,17,20
182	0,1,4,8,9,10,11
183	1,4,7,8,9,11,13,16,17
184	8,10,11,12,16,51
185	0,1,3,4,8,10,11,15
186	0,4,10
187	0,1,2,4,7,8,11,12,14,17,52
188	0,4,8,11,13,16
189	0,1,4,8,9,11,14
190	1,4,7,8,12,13,14
191	0,1,3,4,6,14,15,18
192	0,3,4,6,8,9,11,14
193	0,4,10,17
194	0,4,6,8,9,11,14,25,26
195	1,4,6,7,8,9,10,11,12,14,17,18,53,54,55,56
196	0,1,2,4,6,9,11,13,17,18,21
198	6,14
199	0,1,2,4,5,7,8,10,11,12,14,17,18
200	4,7,8,11,13,14,15,16
201	0,4,10,18
202	0,3,4,7,8,9,10,11,12,13,17
204	1,3,4,6,14,15
205	3,4,5,7,10,15,16,20,25,26,27
206	0,2,7,10,11,12
207	0,1,2,4,7,8,10,12,14,16
208	2,3,4,8,10,12,13,16
209	1,4,7,9,14,17
210	1,4,7,9,12,14,17,18
211	1,4,7,8,9,11,13,14
212	1,4,8,9,11,14,16
213	25,26
214	4,5,11,13,15,17,18
215	4,6,7,8,9,10,12,50
216	1,4
217	0,2,4,9,11
218	0,1,2,3,4,8,9,11,12,13,14
219	0,1
220	0,2,4,6,9,17
221	0,6,16,27
222	8,9
223	0,4,7,9
224	13
